Username,Unnamed: 0,Datetime,Text
saylor,118603,2022-01-22 15:51:35+00:00,"#Bitcoin is progressively gaining the support of serious macroeconomic analysts &amp; market strategists like @NorthmanTrader as they come to realize the utility of a global, non-sovereign store of value asset to an investment portfolio facing inflation risk.
https://t.co/DDAn8XWfbM"
saylor,118604,2022-01-22 14:23:08+00:00,“Character is formed in the stormy billows of the world.” - Goethe on #Bitcoin
saylor,118605,2022-01-21 15:26:52+00:00,"@elonmusk @Twitter I discuss this topic in detail in the Spaces session below. #Bitcoin can be used to create cybersecurity deposits attached to real accounts on the major social media platforms, giving everyone the ability to get verified in minutes for a few dollars.
https://t.co/CdGWSYhMIm"
saylor,118606,2022-01-21 15:22:24+00:00,"@elonmusk Twitter can solve the problem of scammers &amp; spambots if they allow real humans to post ~50,000 sats ($20) via Lightning⚡️&amp; get verified w/an Orange Check. Then we can limit comments/DMs to verified accounts. Bad actors forfeit their security deposit &amp; @Twitter monetizes malice."
saylor,118607,2022-01-21 15:03:47+00:00,#Bitcoin is Digital #Energy. https://t.co/0a28Q4mf2x
saylor,118608,2022-01-21 02:20:21+00:00,"The largest #Bitcoin miner in North America is now public &amp; trading as $CORZ on @Nasdaq. Congratulations to @DarinFeinstein and the team at @Core_Scientific.
https://t.co/FWMmx64F2y"
saylor,118609,2022-01-20 16:52:39+00:00,"If you are going to invest in #bitcoin, a short time horizon is four years, a mid time horizon is ten years, &amp; the right time horizon is #forever. https://t.co/rRMz0yCkpN"
saylor,118610,2022-01-20 15:17:06+00:00,"Join me and Keynote Presenter @jack at the 2nd Annual Bitcoin for Corporations Feb 1 &amp; 2. This free, virtual conference is a must for any corporation considering integrating #Bitcoin with their products &amp; services, or adding #BTC to their balance sheet.
https://t.co/V9fIkv633q"
saylor,118611,2022-01-19 14:29:46+00:00,“You must learn to forgive a man when he’s in love. He’s always a nuisance.” - Rudyard Kipling on #Bitcoin
saylor,118612,2022-01-18 21:07:44+00:00,"The summary of the findings is included below, as well as the link to the livestream.

https://t.co/9jluIhtxkq

https://t.co/a3a6XRolAQ"
